Labels
 Threshold, 100, 300, 600, 700, 800, 900, sum of good, size of good labels , inc 100, inc 300, inc 600, inc 700, inc 800, inc 900, Incorrect label combinations,  Incorrect, totalFN, FN100, FN300, FN600, FN700, FN800, FN900, Normalized TP, Normalized FP 
0.1, 141, 10, 14,10,5,12,192,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,882 , 588, 90 ,86 ,26 ,4 ,88 ,0.178770949721 ,0.0 
0.15, 147, 12, 34,12,5,12,222,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,852 , 582, 88 ,66 ,24 ,4 ,88 ,0.206703910615 ,0.0 
0.2, 147, 14, 34,14,5,16,230,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,844 , 582, 86 ,66 ,22 ,4 ,84 ,0.214152700186 ,0.0 
0.25, 257, 22, 44,22,5,24,374,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,700 , 472, 78 ,56 ,14 ,4 ,76 ,0.348230912477 ,0.0 
0.3, 265, 22, 46,32,9,26,400,66 , 0, 0 , 6 ,6 ,0 ,0 ,12 ,12 ,674 , 464, 78 ,54 ,4 ,0 ,74 ,0.372439478585 ,0.0036563071298 
0.35, 275, 22, 46,36,9,34,422,66 , 43, 0 , 68 ,25 ,0 ,0 ,136 ,136 ,652 , 454, 78 ,54 ,0 ,0 ,66 ,0.392923649907 ,0.0414381474711 
0.4, 281, 22, 56,36,9,34,438,66 , 54, 0 , 90 ,36 ,0 ,0 ,180 ,180 ,636 , 448, 78 ,44 ,0 ,0 ,66 ,0.40782122905 ,0.054844606947 
0.45, 345, 24, 66,36,9,34,514,66 , 142, 0 , 126 ,88 ,0 ,0 ,356 ,356 ,560 , 384, 76 ,34 ,0 ,0 ,66 ,0.478584729981 ,0.108470444851 
0.5, 361, 30, 82,36,9,34,552,66 , 183, 4 , 133 ,126 ,0 ,0 ,446 ,446 ,522 , 368, 70 ,18 ,0 ,0 ,66 ,0.513966480447 ,0.135892748324 
0.55, 361, 32, 82,36,9,34,554,66 , 190, 11 , 150 ,141 ,0 ,0 ,492 ,492 ,520 , 368, 68 ,18 ,0 ,0 ,66 ,0.51582867784 ,0.149908592322 
0.6, 429, 34, 82,36,9,34,624,66 , 207, 12 , 174 ,153 ,0 ,0 ,546 ,546 ,450 , 300, 66 ,18 ,0 ,0 ,66 ,0.581005586592 ,0.166361974406 
0.65, 479, 38, 82,36,9,34,678,66 , 270, 22 , 225 ,171 ,0 ,0 ,688 ,688 ,396 , 250, 62 ,18 ,0 ,0 ,66 ,0.631284916201 ,0.209628275442 
0.7, 499, 42, 92,36,9,34,712,66 , 320, 71 , 275 ,184 ,0 ,0 ,850 ,850 ,362 , 230, 58 ,8 ,0 ,0 ,66 ,0.662942271881 ,0.258988421694 
0.75, 521, 50, 100,36,9,34,750,66 , 332, 87 , 296 ,191 ,0 ,0 ,906 ,906 ,324 , 208, 50 ,0 ,0 ,0 ,66 ,0.698324022346 ,0.2760511883 
0.8, 523, 50, 100,36,9,34,752,66 , 359, 107 , 305 ,209 ,0 ,0 ,980 ,980 ,322 , 206, 50 ,0 ,0 ,0 ,66 ,0.700186219739 ,0.2985984156 
0.85, 545, 60, 100,36,9,52,802,66 , 429, 158 , 325 ,226 ,0 ,0 ,1138 ,1138 ,272 , 184, 40 ,0 ,0 ,0 ,48 ,0.746741154562 ,0.346739792809 
0.9, 613, 88, 100,36,9,56,902,66 , 508, 207 , 361 ,240 ,20 ,0 ,1336 ,1336 ,172 , 116, 12 ,0 ,0 ,0 ,44 ,0.839851024209 ,0.407068860451 
0.95, 673, 98, 100,36,9,56,972,66 , 577, 234 , 409 ,256 ,103 ,1 ,1580 ,1580 ,102 , 56, 2 ,0 ,0 ,0 ,44 ,0.905027932961 ,0.48141377209 
