Labels
 Threshold, 100, 300, 600, 700, 800, 900, sum of good, size of good labels , inc 100, inc 300, inc 600, inc 700, inc 800, inc 900, Incorrect label combinations,  Incorrect, totalFN, FN100, FN300, FN600, FN700, FN800, FN900, Normalized TP, Normalized FP 
0.1, 141, 10, 14,10,5,12,192,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,882 , 588, 90 ,86 ,26 ,4 ,88 ,0.178770949721 ,0.0 
0.15, 141, 10, 16,10,5,12,194,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,880 , 588, 90 ,84 ,26 ,4 ,88 ,0.180633147114 ,0.0 
0.2, 141, 10, 24,10,5,12,202,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,872 , 588, 90 ,76 ,26 ,4 ,88 ,0.188081936685 ,0.0 
0.25, 141, 10, 24,10,5,12,202,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,872 , 588, 90 ,76 ,26 ,4 ,88 ,0.188081936685 ,0.0 
0.3, 141, 10, 26,14,5,12,208,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,866 , 588, 90 ,74 ,22 ,4 ,88 ,0.193668528864 ,0.0 
0.35, 145, 10, 26,14,5,12,212,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,862 , 584, 90 ,74 ,22 ,4 ,88 ,0.19739292365 ,0.0 
0.4, 231, 16, 30,14,5,20,316,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,758 , 498, 84 ,70 ,22 ,4 ,80 ,0.294227188082 ,0.0 
0.45, 257, 22, 42,14,5,20,360,66 , 0, 0 , 4 ,4 ,0 ,0 ,8 ,8 ,714 , 472, 78 ,58 ,22 ,4 ,80 ,0.335195530726 ,0.00243753808653 
0.5, 315, 22, 60,18,5,20,440,66 , 0, 0 , 16 ,16 ,0 ,0 ,32 ,32 ,634 , 414, 78 ,40 ,18 ,4 ,80 ,0.409683426443 ,0.00975015234613 
0.55, 331, 28, 60,26,5,20,470,66 , 15, 2 , 42 ,25 ,0 ,0 ,84 ,84 ,604 , 398, 72 ,40 ,10 ,4 ,80 ,0.437616387337 ,0.0255941499086 
0.6, 341, 30, 60,30,5,20,486,66 , 74, 4 , 87 ,57 ,0 ,0 ,222 ,222 ,588 , 388, 70 ,40 ,6 ,4 ,80 ,0.45251396648 ,0.0676416819013 
0.65, 361, 30, 60,36,5,20,512,66 , 152, 4 , 126 ,102 ,0 ,0 ,384 ,384 ,562 , 368, 70 ,40 ,0 ,4 ,80 ,0.476722532588 ,0.117001828154 
0.7, 395, 30, 74,36,5,20,560,66 , 186, 10 , 140 ,132 ,0 ,0 ,468 ,468 ,514 , 334, 70 ,26 ,0 ,4 ,80 ,0.521415270019 ,0.142595978062 
0.75, 469, 30, 88,36,5,20,648,66 , 200, 20 , 159 ,157 ,0 ,0 ,536 ,536 ,426 , 260, 70 ,12 ,0 ,4 ,80 ,0.603351955307 ,0.163315051798 
0.8, 499, 32, 90,36,5,20,682,66 , 232, 35 , 197 ,172 ,0 ,0 ,636 ,636 ,392 , 230, 68 ,10 ,0 ,4 ,80 ,0.635009310987 ,0.193784277879 
0.85, 501, 38, 90,36,5,20,690,66 , 272, 36 , 233 ,177 ,0 ,0 ,718 ,718 ,384 , 228, 62 ,10 ,0 ,4 ,80 ,0.642458100559 ,0.218769043266 
0.9, 521, 48, 90,36,5,28,728,66 , 317, 62 , 264 ,193 ,0 ,0 ,836 ,836 ,346 , 208, 52 ,10 ,0 ,4 ,72 ,0.677839851024 ,0.254722730043 
0.95, 541, 50, 90,36,5,42,764,66 , 335, 93 , 288 ,206 ,0 ,0 ,922 ,922 ,310 , 188, 50 ,10 ,0 ,4 ,58 ,0.711359404097 ,0.280926264473 
