Labels
 Threshold, 100, 300, 600, 700, 800, 900, sum of good, size of good labels , inc 100, inc 300, inc 600, inc 700, inc 800, inc 900, Incorrect label combinations,  Incorrect, totalFN, FN100, FN300, FN600, FN700, FN800, FN900, Normalized TP, Normalized FP 
0.95, 65, 10, 12,6,5,10,108,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,966 , 664, 90 ,88 ,30 ,4 ,90 ,0.100558659218 ,0.0 
0.9, 91, 12, 24,10,5,14,156,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,918 , 638, 88 ,76 ,26 ,4 ,86 ,0.145251396648 ,0.0 
0.85, 199, 22, 34,18,5,20,298,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,776 , 530, 78 ,66 ,18 ,4 ,80 ,0.277467411546 ,0.0 
0.8, 281, 22, 60,30,9,34,436,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,638 , 448, 78 ,40 ,6 ,0 ,66 ,0.405959031657 ,0.0 
0.75, 335, 48, 78,36,9,34,540,66 , 4, 0 , 6 ,10 ,0 ,0 ,20 ,20 ,534 , 394, 52 ,22 ,0 ,0 ,66 ,0.502793296089 ,0.00609384521633 
0.7, 435, 54, 90,36,9,40,664,66 , 49, 8 , 39 ,74 ,0 ,0 ,170 ,170 ,410 , 294, 46 ,10 ,0 ,0 ,60 ,0.618249534451 ,0.0517976843388 
0.65, 509, 100, 98,36,9,56,808,66 , 187, 85 , 198 ,145 ,7 ,12 ,634 ,634 ,266 , 220, 0 ,2 ,0 ,0 ,44 ,0.752327746741 ,0.193174893358 
0.6, 627, 100, 100,36,9,88,960,66 , 478, 235 , 421 ,247 ,76 ,151 ,1608 ,1608 ,114 , 102, 0 ,0 ,0 ,0 ,12 ,0.893854748603 ,0.489945155393 
0.55, 725, 100, 100,36,9,100,1070,66 , 987, 513 , 547 ,343 ,188 ,506 ,3084 ,3084 ,4 , 4, 0 ,0 ,0 ,0 ,0 ,0.996275605214 ,0.939670932358 
0.5, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.45, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.4, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.35, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.3, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.25, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.2, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.15, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.1, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.05, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
