0.1,29,10,10,6,4,10, 59,66,0,0,0,0 , 0, 0 , 0 ,1 ,501 ,349 ,45 ,45 ,15 , 2, 45 , , , , , , 
0.15,33,10,12,7,4,15, 69,66,0,0,0,0 , 0, 0 , 0 ,1 ,489 ,345 ,45 ,43 ,14 , 2, 40 , , , , , , 
0.2,49,10,14,7,4,20, 90,66,0,0,0,0 , 0, 0 , 0 ,1 ,466 ,329 ,45 ,41 ,14 , 2, 35 , , , , , , 
0.25,83,10,15,10,4,22, 129,66,0,0,0,0 , 0, 0 , 0 ,1 ,426 ,295 ,45 ,40 ,11 , 2, 33 , , , , , , 
0.3,105,10,15,11,6,22, 154,66,0,0,0,0 , 0, 0 , 0 ,1 ,401 ,273 ,45 ,40 ,10 , 0, 33 , , , , , , 
0.35,133,12,21,12,6,22, 185,66,0,0,0,0 , 0, 0 , 0 ,1 ,364 ,245 ,43 ,34 ,9 , 0, 33 , , , , , , 
0.4,147,16,22,14,6,22, 205,66,0,0,0,0 , 0, 0 , 0 ,1 ,343 ,231 ,39 ,33 ,7 , 0, 33 , , , , , , 
0.45,150,16,24,21,6,22, 215,66,0,0,0,0 , 0, 0 , 0 ,1 ,331 ,228 ,39 ,31 ,0 , 0, 33 , , , , , , 
0.5,154,17,28,21,6,22, 220,66,0,0,0,0 , 0, 0 , 0 ,1 ,322 ,224 ,38 ,27 ,0 , 0, 33 , , , , , , 
0.55,163,25,30,21,6,23, 238,66,0,0,0,0 , 0, 0 , 0 ,1 ,302 ,215 ,30 ,25 ,0 , 0, 32 , , , , , , 
0.6,184,30,37,21,6,31, 272,66,6,0,9,1 , 0, 0 , 16 ,17 ,261 ,194 ,25 ,18 ,0 , 0, 24 ,608-192.168.10.102-6.1180 ; 606-192.168.10.102-6.1180 ; 609-192.168.10.126-6.110 ; 609-192.168.10.126-6.110 ; 609-192.168.10.126-6.110 ; 609-192.168.10.126-6.110 , ,110-24.6.98.163-6.80 ; 707-192.168.10.102-6.25 ; 701-192.168.10.102-17.53 ; 110-24.6.98.163-6.80 ; 707-192.168.10.102-6.25 ; 701-192.168.10.102-17.53 ; 102-24.6.98.163-6.80 ; 109-24.6.98.163-6.80 ; 109-24.6.98.163-6.80 ,605-192.168.10.102-6.1180 , , 
