Labels
 Threshold, 100, 300, 600, 700, 800, 900, sum of good, size of good labels , inc 100, inc 300, inc 600, inc 700, inc 800, inc 900, Incorrect label combinations,  Incorrect, totalFN, FN100, FN300, FN600, FN700, FN800, FN900, Normalized TP, Normalized FP 
0.1, 0, 0, 0,0,0,0,0,1 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1074 , 729, 100 ,100 ,36 ,9 ,100 ,0.0 ,0.0 
0.15, 0, 0, 0,0,0,0,0,1 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1074 , 729, 100 ,100 ,36 ,9 ,100 ,0.0 ,0.0 
0.2, 0, 0, 0,0,0,0,0,1 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1074 , 729, 100 ,100 ,36 ,9 ,100 ,0.0 ,0.0 
0.25, 0, 0, 0,0,0,0,0,1 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1074 , 729, 100 ,100 ,36 ,9 ,100 ,0.0 ,0.0 
0.3, 0, 0, 0,0,0,0,0,1 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1074 , 729, 100 ,100 ,36 ,9 ,100 ,0.0 ,0.0 
0.35, 0, 0, 0,0,0,0,0,1 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1074 , 729, 100 ,100 ,36 ,9 ,100 ,0.0 ,0.0 
0.4, 0, 0, 0,0,0,0,0,1 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1074 , 729, 100 ,100 ,36 ,9 ,100 ,0.0 ,0.0 
0.45, 0, 0, 0,0,0,0,0,1 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1074 , 729, 100 ,100 ,36 ,9 ,100 ,0.0 ,0.0 
0.5, 0, 0, 0,0,0,0,0,1 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1074 , 729, 100 ,100 ,36 ,9 ,100 ,0.0 ,0.0 
0.55, 4, 0, 0,0,0,0,4,4 , 66, 47 , 13 ,17 ,1 ,54 ,198 ,198 ,1070 , 725, 100 ,100 ,36 ,9 ,100 ,0.00372439478585 ,0.0603290676417 
0.6, 102, 0, 0,0,0,12,114,32 , 575, 325 , 139 ,113 ,113 ,409 ,1674 ,1674 ,960 , 627, 100 ,100 ,36 ,9 ,88 ,0.106145251397 ,0.510054844607 
0.65, 220, 0, 2,0,0,44,266,39 , 866, 475 , 362 ,215 ,182 ,548 ,2648 ,2648 ,808 , 509, 100 ,98 ,36 ,9 ,56 ,0.247672253259 ,0.806825106642 
0.7, 294, 46, 10,0,0,60,410,53 , 1004, 552 , 521 ,286 ,189 ,560 ,3112 ,3112 ,664 , 435, 54 ,90 ,36 ,9 ,40 ,0.381750465549 ,0.948202315661 
0.75, 394, 52, 22,0,0,66,534,55 , 1049, 560 , 554 ,350 ,189 ,560 ,3262 ,3262 ,540 , 335, 48 ,78 ,36 ,9 ,34 ,0.497206703911 ,0.993906154784 
0.8, 448, 78, 40,6,0,66,638,61 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,436 , 281, 22 ,60 ,30 ,9 ,34 ,0.594040968343 ,1.0 
0.85, 530, 78, 66,18,4,80,776,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,298 , 199, 22 ,34 ,18 ,5 ,20 ,0.722532588454 ,1.0 
0.9, 638, 88, 76,26,4,86,918,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,156 , 91, 12 ,24 ,10 ,5 ,14 ,0.854748603352 ,1.0 
0.95, 664, 90, 88,30,4,90,966,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,108 , 65, 10 ,12 ,6 ,5 ,10 ,0.899441340782 ,1.0 
